t,plant,axis,metamer,organ,element,Ag,Amino_Acids_import,An,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,N_content_total,Nitrates_import,Nresidual,Nstruct,PARa,PARa_prim,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Total_Organic_Nitrogen,Tr,Transpiration,Ts,Wmax,age,amino_acids,area_prim,cytokinins,cytokinins_import,fructan,green_area,gs,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,proteins,senesced_length_element,senesced_mstruct,starch,sucrose,sum_respi,triosesP,width
2,1,MS,2,sheath,StemElement,1.31266015,0.00034902,1.67011317,0.00000000,2.98312259,21.56349123,0.58863143,0.00085642,0.00795698,0.03032654,0.00041695,0.00000000,0.00000020,76.28206810,NA,0.02226875,0.00041278,0.00000000,0.00028660,0.01278445,0.00000009,10.42383609,0.00002907,1.57735500,36.10739345,486.00433093,0.08629427,0.22338980,0.00000105,6.41991023,NA,160.69615137,0.00499413,NA,0.00149154,0.00005453,0.00000000,0.00000471,0.18323492,0.02873631,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000100,0.06701442,0,0.00000000,0.00204899,0.09016612,0.00069938,0.00000345,0.00300000
2,1,MS,3,blade,LeafElement1,10.70369377,0.04452896,10.60209740,0.00000006,1.55337314,100.72138717,1.76284538,0.06741051,4.91948265,NA,0.05319576,0.00000000,0.00002090,255.07200232,NA,7.09953105,0.05266380,0.00012311,0.09207382,0.10159636,0.00000000,12.75429924,0.00000013,1.35918452,152.22148280,1507.62914962,24.35051006,0.72895436,0.00013431,8.70275217,0.00400000,80.69615137,0.41972099,NA,0.46576301,0.00695673,0.00000006,0.00018424,0.34012382,0.05165780,True,False,0.06405853,0.00417081,0.00000000,0.00417081,1.00000000,0.00005877,22.43793193,0,0.00000000,0.99793842,8.91909874,0.14486073,0.00153597,0.00288346
2,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46408767,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001012,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
2,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46408767,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005060,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
3,1,MS,1,blade,LeafElement1,0.00000000,0.00000000,0.00000000,0.00000019,2.05602781,0.00000000,1.15481271,0.09879934,0.51565339,0.06583768,0.00000000,0.00000000,0.00002050,116.16003729,NA,0.00000000,0.00000000,0.00001271,0.06404368,0.00000000,0.00000035,0.00000000,0.00011754,1.85100373,0.00000000,0.00000000,19.18736980,0.00000000,0.00000000,5.41500000,0.00300000,240.94343432,0.78510650,NA,0.33307678,0.00000000,0.00000019,0.00019533,0.00000000,NA,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00000000,16.93797759,0,0.00000000,0.00000000,11.06914046,0.06405639,0.00000000,0.00232481
3,1,MS,1,sheath,StemElement,0.72255228,0.01056066,0.91852928,0.00000001,2.30563401,19.77074363,0.43413042,0.03446349,0.60307328,0.02398616,0.01306267,0.00000000,0.00000855,47.82148629,NA,0.69869521,0.01293145,0.00000619,0.00969620,0.00781980,0.00000002,7.63863985,0.00000566,1.70950656,25.94160043,357.28915538,2.91494873,0.12212962,0.00003280,4.84819156,NA,240.94343432,0.28524313,NA,0.05213735,0.00170314,0.00000001,0.00026861,0.15074009,0.01424321,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00004075,2.01899131,0,0.00000000,0.08903956,5.09748179,0.02263384,0.00011723,0.00300000
3,1,MS,2,blade,LeafElement1,0.00000000,0.00000000,0.00000000,0.00000018,1.71595179,0.00000000,1.37218927,0.13775376,0.66073459,0.07682096,0.00000000,0.00000000,0.00002420,NA,NA,0.00000000,0.00000000,0.00001918,0.08854443,0.00000000,0.00000027,0.00000000,0.00009224,1.92608283,0.00000000,0.00000000,26.36822524,0.00000000,0.00000000,5.41500000,0.00330000,160.94343432,0.99314747,NA,0.46620881,0.00000000,0.00000018,0.00024107,0.00000000,NA,False,False,0.09200000,0.00483764,4887.71319606,0.00483764,1.00000000,0.00000000,23.64650634,0,0.00000000,0.00000000,13.24142332,0.08856360,0.00000000,0.00255729
3,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,2.49812432,2.89905196,0.00000000,0.47551113,0.01363879,0.19016822,0.03036724,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00000260,0.01607448,0.00000000,0.00000121,0.00000000,0.00038764,1.46727509,0.00000000,0.00000000,4.92909553,0.00000000,0.00000000,5.41500000,NA,160.94343432,0.29823668,NA,0.07614268,0.00000000,6.69062500,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.81657314,0,0.00000000,0.00000000,5.83649919,0.01607708,0.00000000,0.00300000
3,1,MS,2,sheath,StemElement,0.84244810,0.00012619,1.06465103,0.00000000,2.69025976,20.59325202,0.53062183,0.00043196,0.00439584,0.03020334,0.00015609,0.00000000,0.00000020,30.51282724,NA,0.01429180,0.00015403,0.00000000,0.00025430,0.01541063,0.00000053,3.88966940,0.00016426,1.37298239,23.09127436,321.24386788,0.08598493,0.08318458,0.00000039,4.27252670,NA,160.94343432,0.00473671,NA,0.00149066,0.00002035,0.00000000,0.00000471,0.13843561,0.02873631,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000053,0.06696251,0,0.00000000,0.00216945,0.09769689,0.00040833,0.00000244,0.00300000
3,1,MS,3,blade,LeafElement1,5.51655997,0.01322198,5.43470705,0.00000006,1.42517921,83.18240911,1.57480901,0.01586779,2.64923306,NA,0.01635449,0.00000000,0.00002090,102.02880092,NA,3.67234215,0.01619184,0.00006630,0.07656492,0.08185293,0.00000000,3.92139420,0.00000084,1.26390128,66.42684923,801.12058840,24.36825999,0.22211093,0.00004107,5.35628743,0.00400000,80.94343432,0.43816938,NA,0.46129732,0.00213233,0.00000006,0.00018492,0.20364951,0.05178648,True,False,0.06423040,0.00417081,0.00000000,0.00417081,1.00000000,0.00002763,22.43723347,0,0.00000000,0.91372563,9.93391440,0.09282306,0.00073611,0.00288341
