t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
17,1,MS,roots,0.01551310,0.77475245,0.00348333,0.00425692,0.00053252,0.95965032,0.01958154,0.00017661,NA,0.06812605,0.06027630,NA,NA,NA,0.04800144,0.53571903,0.97516942,NA,0.84400554,NA,NA,14.85074353,0.14501007,3.87376223,0.15182947,NA,2.23552892,9.09274713,0.00004344,0.03528320,24.31259301,NA,0.00000000,0.00000977,0.00000000,NA,NA,88.44972101,1.55565361,0.17640379
18,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24865761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.13568326,NA,NA
18,1,MS,roots,0.01563808,1.36111074,0.00433924,0.00528045,0.00065960,0.96710880,0.03563515,0.00017683,NA,0.06863327,0.05956642,NA,NA,NA,0.04797231,0.54003490,0.98121215,NA,0.84529106,NA,NA,14.88876041,0.25308994,6.80555371,0.15004135,NA,2.25790772,9.12194984,0.00004379,0.03532699,24.42298488,NA,0.00000000,0.00001207,0.00000000,NA,NA,86.24244586,1.56818629,0.17617200
19,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16334746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.80658057,NA,NA
19,1,MS,roots,0.01575252,1.89898796,0.00450886,0.00545704,0.00068076,0.97479269,0.05155684,0.00017705,NA,0.06914525,0.05886947,NA,NA,NA,0.04794777,0.54398719,0.98729898,NA,0.84614429,NA,NA,14.92976692,0.35066785,9.49493978,0.14828582,NA,2.28316171,9.15119569,0.00004411,0.03537109,24.53114200,NA,0.00000000,0.00001241,0.00000000,NA,NA,84.09546673,1.57966319,0.17596249
20,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07402069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.39426529,NA,NA
20,1,MS,roots,0.01589656,2.39829171,0.00550840,0.00662214,0.00082510,0.98399406,0.06756754,0.00017728,NA,0.06975003,0.05825728,NA,NA,NA,0.04797669,0.54896111,0.99468271,NA,0.84758157,NA,NA,14.97267937,0.43964906,11.99145853,0.14674377,NA,2.31017760,9.18038220,0.00004451,0.03541560,24.63624190,NA,0.00000000,0.00001500,0.00000000,NA,NA,81.99913866,1.59410675,0.17598400
21,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00623242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.20285886,NA,NA
21,1,MS,roots,0.01611288,2.91130816,0.00576325,0.00687692,0.00085591,0.99615390,0.08520573,0.00017750,NA,0.07055076,0.05780439,NA,NA,NA,0.04811021,0.55643148,1.00482161,NA,0.85076259,NA,NA,15.01837978,0.53113636,14.55654081,0.14560299,NA,2.33976513,9.20968444,0.00004512,0.03546072,24.73949807,NA,0.00000000,0.00001551,0.00000000,NA,NA,79.94505904,1.61579967,0.17646536
22,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.92335560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.56741307,NA,NA
